CpuTime, PID, StartingBurstTime, EndingBurstTime, CompletionTime
0,1,931,0,931
934,2,991,0,1925
1928,3,683,0,2611
2614,4,404,0,3018
3021,5,929,0,3950
3953,6,760,0,4713
4716,7,772,0,5488
5491,8,210,0,5701
5704,9,845,0,6549
6552,10,573,0,7125
7128,11,225,0,7353
7356,12,874,0,8230
8233,13,382,0,8615
8618,14,524,0,9142
9145,15,198,0,9343
9346,16,867,0,10213
10216,17,897,0,11113
11116,18,30,0,11146
11149,19,94,0,11243
11246,20,423,0,11669
11672,21,336,0,12008
12011,22,799,0,12810
12813,23,596,0,13409
13412,24,680,0,14092
14095,25,71,0,14166
14169,26,754,0,14923
14926,27,392,0,15318
AverageTurnaroundTime: ,8770.5