CpuTime, PID, StartingBurstTime, EndingBurstTime, CompletionTime
0,18,30,0,30
33,25,71,0,104
107,19,94,0,201
204,15,198,0,402
405,8,210,0,615
618,11,225,0,843
846,21,336,0,1182
1185,13,382,0,1567
1570,27,392,0,1962
1965,4,404,0,2369
2372,20,423,0,2795
2798,14,524,0,3322
3325,10,573,0,3898
3901,23,596,0,4497
4500,24,680,0,5180
5183,3,683,0,5866
5869,26,754,0,6623
6626,6,760,0,7386
7389,7,772,0,8161
8164,22,799,0,8963
8966,9,845,0,9811
9814,16,867,0,10681
10684,12,874,0,11558
11561,17,897,0,12458
12461,5,929,0,13390
13393,1,931,0,14324
14327,2,991,0,15318
AverageTurnaroundTime: ,5685.4